what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1494164694169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164704831
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164793848
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1494164805671
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1494164805671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164820654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164824013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164840158
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164864216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164876485
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164881594
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494164883500
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494164895797
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164904223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164904395
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164932970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1494164937717
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1494164943294
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1494164953468
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1494164973916
